1;PMEZMH, 2, BPV4MM, 2;27.02.2025;20.04.2025;1;Степанов Михаил Артёмович;901;Завершен
2;JVL42J, 1, F895RB, 1;28.09.2024;21.04.2025;11;Ворсин Петр Евгеньевич;902;Завершен
3;3XBOTN, 10, 3L7RCZ, 10;21.03.2025;22.04.2025;2;Старикова Елена Павловна;903;Завершен
4;S72AM3, 5, 2G3280, 4;20.02.2025;23.04.2025;11;Сазонов Руслан Германович;904;Завершен
5;MIO8YV, 2, UER2QD, 2;17.03.2025;24.04.2025;2;Степанов Михаил Артёмович;905;Завершен
6;PMEZMH, 2, BPV4MM, 2;01.03.2025;25.04.2025;15;Ворсин Петр Евгеньевич;906;Завершен
7;JVL42J, 1, F895RB, 1;30.02.2025;26.04.2025;3;Старикова Елена Павловна;907;Завершен
8;3XBOTN, 10, 3L7RCZ, 10;31.03.2025;27.04.2025;19;Сазонов Руслан Германович;908;Новый
9;S72AM3, 5, 2G3280, 4;02.04.2025;28.04.2025;5;Старикова Елена Павловна;909;Новый
10;MIO8YV, 2, UER2QD, 2;03.04.2025;29.04.2025;19;Сазонов Руслан Германович;910;Новый

